target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs002801_s,0.14332474395255557 -1,0.07325144467599999 -1,0.05042182271291115 -1,0.008825232158108811 -1,0.8545589242788463 -1,0.8086107843137256 -1,0.8139349053899083 -1
hs002901_s,0.11742540851039812 -1,0.0655646824747 -1,0.04318853888641426 -1,0.0039901028953229405 -1,0.8478580459770115 -1,0.8214375874125874 -1,0.8222042025862069 -1
hs003001_s,0.14775308615313842 -1,0.0486308002162 -1,0.04151 -1,0.006615000000000001 -1,0.9284002551020408 -1,0.9178825 -1,0.9292400735294118 -1
hs003101_s,0.12313619036725722 -1,0.0504504747598 -1,0.051126344644716146 -1,0.007476811175067342 -1,0.8319846074380166 -1,0.7535933593749999 -1,0.7484445181564247 -1
hs003201_s,0.14104975087568164 -1,0.0380392934121 -1,0.04234294121368728 -1,0.0051037425909399685 -1,0.8756049226747986 -1,0.8246430637894238 -1,0.8481889219567933 -1
hs003301_s,0.12728817455661484 -1,0.0272328920413 -1,0.04253215000207609 -1,0.006183649041419583 -1,0.9017772192028986 -1,0.8736583191317607 -1,0.8898664824636917 -1
hs003401_s,0.1628588296555914 -1,0.031533284464299996 -1,0.03830041519725397 -1,0.005636380189965675 -1,0.9048715511658032 -1,0.8765326832820048 -1,0.8827108354489938 -1
hs003501_s,0.1554674260685686 -1,0.0253760190038 -1,0.036228185373727344 -1,0.006453199863986275 -1,0.874553739162032 -1,0.8438987475166277 -1,0.8562865090442423 -1
hs003601_s,0.11912975466377101 -1,0.0228108366474 -1,0.03717786259901925 -1,0.005695951291965296 -1,0.8790580508474577 -1,0.8244847250010208 -1,0.827780393683274 -1
hs003701_s,0.14335579282864927 -1,0.022429951195699998 -1,0.03044192444026477 -1,0.003558636235396246 -1,0.8394125589622642 -1,0.802217578988428 -1,0.8227421405579399 -1
hs003801_s,0.10762721171891317 -1,0.0249158648282 -1,0.0329371107932075 -1,0.0036523848467389926 -1,0.8054680457746479 -1,0.763141258163181 -1,0.746036379076087 -1
hs006301_s,0.3677532947802916 -1,0.0111770947805 -1,0.03362365204617594 -1,0.0038176683796856113 -1,0.854232390009166 -1,0.8237347978730656 -1,0.8344802962191027 -1
hs007301_s,0.2024045713994652 -1,0.0260920735882 -1,0.030013530231228165 -1,0.003180350707536325 -1,0.7799796725874868 -1,0.754745197633434 -1,0.7667968242900609 -1
hs007401_s,0.2162405629591085 -1,0.0270503499103 -1,0.03103247811731622 -1,0.003882320337460799 -1,0.8140035409556314 -1,0.7765209780283081 -1,0.7883628075572318 -1
hs007501_s,0.20909081628685816 -1,0.035136860781 -1,0.03596345372492088 -1,0.005495184305397981 -1,0.7642241235167206 -1,0.7424782213514902 -1,0.7576915816968781 -1
hs007601_s,0.3683551806954667 -1,0.0219962574774 -1,0.035352825483917154 -1,0.004140766209802053 -1,0.8409549461451248 -1,0.8076918305155681 -1,0.8218355690465483 -1
hs007701_s,0.3514644720274955 -1,0.024602436771 -1,0.03443198125624055 -1,0.004559218769880224 -1,0.6883423622618061 -1,0.6488933362636634 -1,0.6580969818959244 -1
hs011201_s,0.16397117590396665 -1,0.0311828909758 -1,0.04982411367216251 -1,0.004088103849648648 -1,0.9602260177925211 -1,0.9423526217972363 -1,0.9447503472222222 -1
hs016501_s,0.21148775349939242 -1,0.0407822418095 -1,0.025609795943240827 -1,0.004326554192304568 -1,0.8879093881486676 -1,0.8559073254991567 -1,0.8525318105579096 -1
